00100;Helsinki Keskusta;16946;60.1726668;24.93200879999995
00120;Punavuori;6611;60.1629027;24.942100400000072
00130;Kaartinkaupunki;1516;60.1653551;24.949160500000062
00140;Kaivopuisto;7675;60.15744170000001;24.953880600000048
00150;Eira;8907;60.15114759999999;24.923553200000015
00160;Katajanokka;4491;60.1666474;24.969699900000023
00170;Kruununhaka;7051;60.1730831;24.953074700000002
00180;Ruoholahti;12009;60.1644255;24.911359500000003
00190;Suomenlinna;802;60.1455436;24.98227010000005
00200;Lauttasaari;14492;60.1600568;24.87135969999997
00210;Vattuniemi;6297;60.15108780000001;24.885249599999952
00240;Länsi-Pasila;4725;60.20668629999999;24.92447190000007
00250;Taka-Töölö;10846;60.1867356;24.92360259999998
00260;Keski-Töölö;5286;60.1789138;24.9240135
00270;Pohjois-Meilahti;7546;60.1949243;24.905909500000007
00280;Ruskeasuo;2864;60.2009885;24.906546400000025
00290;Meilahden sairaala-alue;162;60.1892544;24.90716950000001
00300;Pikku Huopalahti;5740;60.20644679999999;24.8947445
00310;Kivihaka;852;60.2105707;24.905077399999982
00320;Etelä-Haaga;9289;60.2168179;24.89706780000006
00330;Munkkiniemi;8528;60.1964379;24.875142600000004
00340;Kuusisaari-Lehtisaari;1723;60.1803621;24.854927999999973
00350;Munkkivuori-Niemenmäki;8807;60.2087472;24.86776180000004
00360;Pajamäki;1843;60.2177188;24.853841699999975
00370;Reimarla;6274;60.2245747;24.85826350000002
00380;Pitäjänmäen teollisuusalue;4024;60.2156019;24.872186000000056
00390;Konala;5551;60.241372;24.843901800000026
00400;Pohjois-Haaga;9120;60.22718990000001;24.899392199999966
00410;Malminkartano;8613;60.24884100000001;24.860774600000013
00420;Kannelmäki;13616;60.2398658;24.874707899999976
00430;Maununneva;4782;60.25242600000001;24.89707980000003
00440;Lassila;4514;60.2310707;24.879984899999954
00500;Sörnäinen;12260;60.186781;24.961957900000016
00510;Etu-Vallila;8478;60.18969889999999;24.947421599999984
00520;Itä-Pasila;6249;60.20025279999999;24.941118200000005
00530;Kallio;18264;60.1809045;24.95267119999994
00550;Vallila;10759;60.19890780000001;24.963253399999985
00560;Toukola-Vanhakaupunki;9129;60.21144529999999;24.98564520000002
00570;Kulosaari;3751;60.188382;25.00791789999994
00580;Verkkosaari;1839;60.19422819999999;24.97884279999994
00590;Kaitalahti;374;60.1672702;25.020475900000065
00600;Koskela;4127;60.22061919999999;24.96309659999997
00610;Käpylä;7927;60.2121955;24.951052900000036
00620;Metsälä-Etelä-Oulunkylä;3123;60.22117770000001;24.937147500000037
00630;Maunula-Suursuo;7989;60.2301589;24.923235299999988
00640;Oulunkylä-Patola;7615;60.2345091;24.96334150000007
00650;Veräjämäki;4258;60.22728230000001;24.976197599999978
00660;Länsi-Pakila;6380;60.2403466;24.934223100000054
00670;Paloheinä;6052;60.2563676;24.916085000000066
00680;Itä-Pakila;3708;60.2466406;24.96463749999998
00690;Tuomarinkylä-Torpparinmäki;2587;60.2626673;24.946507399999973
00700;Malmi;12904;60.24863959999999;25.03181100000006
00710;Pihlajamäki;11452;60.23689319999999;25.013174299999946
00720;Pukinmäki-Savela;8437;60.2427441;24.98405409999998
00730;Tapanila;11369;60.26624609999999;25.02132119999999
00740;Siltamäki;10115;60.27719279999999;24.997686499999986
00750;Puistola;9148;60.27642589999999;25.03235810000001
00760;Suurmetsä;7701;60.27055999999999;25.06150930000001
00770;Jakomäki;6200;60.2564714;25.06988769999998
00780;Tapaninvainio;7022;60.25996749999999;24.99086699999998
00790;Viikki;9541;60.2279004;25.02707190000001
00800;Länsi-Herttoniemi;6965;60.20873210000001;25.02994030000002
00810;Herttoniemi;10834;60.18956689999999;25.03280410000002
00820;Roihuvuori;7248;60.20111129999999;25.060073699999975
00830;Tammisalo;2241;60.1905513;25.06634250000002
00840;Laajasalo;8129;60.17862199999999;25.056363799999986
00850;Jollas;3146;60.16259030000001;25.07439869999996
00860;Santahamina;492;60.14420939999999;25.042693999999983
00870;Etelä-Laajasalo;4803;60.1614148;25.049525600000038
00890;Itäsalmi;2122;60.24857989999999;25.18568300000004
00900;Puotinharju;3604;60.2153887;25.08147329999997
00910;Puotila;6061;60.2122541;25.104675300000054
00920;Myllypuro;10107;60.2200837;25.065878699999985
00930;Itäkeskus-Marjaniemi;6717;60.2040444;25.083935500000052
00940;Kontula;25403;60.2408195;25.070643399999994
00950;Vartioharju;5556;60.2243805;25.10602610000001
00960;Pohjois-Vuosaari;7077;60.2216177;25.150360999999975
00970;Mellunkylä;10343;60.2353287;25.12089130000004
00980;Etelä-Vuosaari;22661;60.20481289999999;25.126154100000008
00990;Aurinkolahti;6205;60.1985208;25.172544700000003
01120;Västerskog;1199;60.2421143;25.309136999999964
01150;Söderkulla;4425;60.28666219999999;25.3343026
01180;Kalkkiranta;515;60.2606499;25.40086120000001
01190;Box;1004;60.33430809999999;25.374863300000015
01200;Hakunila;11760;60.2775826;25.134317099999976
01230;Vaarala;2909;60.26272729999999;25.100368600000024
01260;Itä-Hakkila;4621;60.30577479999999;25.117590000000064
01280;Länsimäki;9538;60.24667650000001;25.118438200000014
01300;Tikkurila;16805;60.29755900000001;25.01975630000004
01350;Hiekkaharju;8556;60.31283250000001;25.03632809999999
01360;Koivukylä-Havukoski;12044;60.3136174;25.07867729999998
01370;Jokiniemi;5848;60.2967844;25.05445409999993
01380;Kuusikko-Hakkila;1855;60.2909113;25.083624099999952
01390;Ruskeasanta-Ilola;8487;60.32378740000001;25.012660099999948
01400;Rekola;7940;60.33123769999999;25.068185200000016
